file_name,caption
1C1_1.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C1_2.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C1_3.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C1_4.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C1_5.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C1_6.jpg,A cut potato tuber showing mild potato tuber greening disorder near the peel.
1C2_1.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_2.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_3.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_4.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_5.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_6.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_7.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_8.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_9.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_10.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_11.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_12.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_13.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_14.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_15.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_16.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_17.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_18.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_19.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_20.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_21.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_22.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_23.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_24.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_25.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_26.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_27.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_28.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C2_29.jpg,A cut potato tuber showing moderate potato tuber greening disorder near the peel.
1C3_1.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_2.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_3.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_4.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_5.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_6.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_7.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_8.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_9.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1C3_10.jpg,A cut potato tuber showing severe potato tuber greening disorder near the peel.
1W1_1.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_2.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_3.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_4.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_5.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_6.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_7.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_8.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_9.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_10.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_11.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_12.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_13.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_14.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_15.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_16.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_17.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_18.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_19.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_20.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_21.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_22.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_23.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
1W1_24.jpg,A whole potato tuber showing mild potato tuber greening disorder on the outer surface.
